title,price,location,year,mileage,list_date,URL,source
New 2022 SSR SR189 electric start dirt bike,,kittitas,2022,1mi,7/7,https://seattle.craigslist.org/see/mcd/d/kittitas-new-2022-ssr-sr189-electric/7640705171.html,craigslist
2018 Harley-Davidson Electra Glide Ultra Classic FLHTCU,"$17,588",renton,2018,20k mi,7/7,https://seattle.craigslist.org/see/mcd/d/renton-2018-harley-davidson-electra/7640696454.html,craigslist
2014 Can-Am Spyder RT Ltd SE6 + 2011 RT-622 Trailer,"$18,800",auburn,2014,22k mi,7/7,https://seattle.craigslist.org/skc/mcy/d/auburn-2014-can-am-spyder-rt-ltd-se-rt/7640693608.html,craigslist
2023 Husqvarna EE3,"$4,599",bremerton,2023,-1,7/7,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-husqvarna-ee3/7640670899.html,craigslist
2018 Honda Gold Wing Matte Majestic Silver,"$15,999",olympia,2018,-1,7/7,https://seattle.craigslist.org/oly/mcd/d/olympia-2018-honda-gold-wing-matte/7640670827.html,craigslist
2008 Yamaha V-Star 1300,"$3,000",bremerton,2008,18k mi,7/7,https://seattle.craigslist.org/kit/mcy/d/bremerton-2008-yamaha-star-1300/7640670108.html,craigslist
2020 Harley-Davidson Touring Softail Street Glide,"$22,999",silverdale,2020,"3,802mi",7/7,https://seattle.craigslist.org/kit/mcd/d/silverdale-2020-harley-davidson-touring/7640669009.html,craigslist
2022 Harley-Davidson Sportster Nightster,"$13,499",tacoma,2022,85mi,7/7,https://seattle.craigslist.org/tac/mcd/d/tacoma-2022-harley-davidson-sportster/7640668931.html,craigslist
2022 Harley-Davidson Softail Heritage Classic,"$22,999",silverdale,2022,"1,960mi",7/7,https://seattle.craigslist.org/kit/mcd/d/silverdale-2022-harley-davidson-softail/7640668945.html,craigslist
2022 Harley-Davidson Electra Glide Ultra Limited,"$35,999",tacoma,2022,"5,499mi",7/7,https://seattle.craigslist.org/tac/mcd/d/tacoma-2022-harley-davidson-electra/7640668888.html,craigslist
2019 Harley-Davidson Street Glide Special,"$24,999",tacoma,2019,16k mi,7/7,https://seattle.craigslist.org/tac/mcd/d/tacoma-2019-harley-davidson-street/7640668879.html,craigslist
2018 Harley-Davidson Street Glide Touring Special,"$23,999",tacoma,2018,24k mi,7/7,https://seattle.craigslist.org/tac/mcd/d/tacoma-2018-harley-davidson-street/7640668857.html,craigslist
